Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src
lindt-exc-creamy,Lindt Exc Creamy, 100g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,2500,TRUE,TRUE,https://assets.indolj.io/upload/1761913211-Lindt Exc Creamy 100g.jpg?q=10
galaxy-smooth-milk-chocolate-bar,Galaxy Smooth Milk Chocolate Bar,36g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,36,shopify,100,deny,manual,670,TRUE,TRUE,https://assets.indolj.io/upload/1750128047-Galaxy Smooth Milk Chocolate bar 36g.webp?q=10
hershyes-pretzels-cookies-cream-pouch,Hershyes Pretzels Cookies Cream Pouch,170g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,170,shopify,100,deny,manual,3050,TRUE,TRUE,https://assets.indolj.io/upload/1772523050-HershyesPretzelsCookiesCreamPouch170g.jfif?q=10
lindt-exc-caramelised-hazelnut,Lindt Exc Caramelised Hazelnut,100g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,2500,TRUE,TRUE,https://assets.indolj.io/upload/1761913255-Lindt Exc Caramelised Hazelnut 100g.jpg?q=10
hersheys-creamy-milk-chocolate-with-whole-almond,Hersheys Creamy Milk Chocolate With Whole Almond,40g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,40,shopify,100,deny,manual,640,TRUE,TRUE,https://assets.indolj.io/upload/placholde-general2.png?q=10
hershyes-pretzels-milkdark-pouch,Hershyes Pretzels Milk&Dark Pouch,170g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,170,shopify,100,deny,manual,3050,TRUE,TRUE,https://assets.indolj.io/upload/1772523090-HershyesPretzelsMilk.jfif?q=10
reeses-pretzels-bretzels,Reeses Pretzels Bretzels,170g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,170,shopify,100,deny,manual,3050,TRUE,TRUE,https://assets.indolj.io/upload/1772523160-ReesesPretzelsBretzels170g.jfif?q=10
lindt-excellence-70-cocoa-intense-dark,Lindt Excellence 70% Cocoa Intense Dark,100g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,2500,TRUE,TRUE,https://assets.indolj.io/upload/1761913379-Lindt Excellence 70� Cocoa Intense Dark 100g.jpg?q=10
reeses-white-blanc-peanut-butter-pouch,Reeses White Blanc Peanut Butter Pouch,165g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,165,shopify,100,deny,manual,3850,TRUE,TRUE,https://assets.indolj.io/upload/1772523178-ReesesWhiteBlancPeanutButterPouch165g.jfif?q=10
lindt-exc-mint,Lindt Exc Mint,100g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,2500,TRUE,TRUE,https://assets.indolj.io/upload/1761913508-Lindt-Exc-Mint-100g.jpg?q=10
reeses-peanut-butter-with-caramel-pouch,Reeses Peanut Butter With Caramel pouch,170g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,170,shopify,100,deny,manual,3850,TRUE,TRUE,https://assets.indolj.io/upload/1772523196-ReesesPeanutButterWithCaramelpouch170g.jfif?q=10
lindt-lindor-tiramisu,Lindt Lindor Tiramisu,100g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,2250,TRUE,TRUE,https://assets.indolj.io/upload/1761913570-Lindt Lindor Tiramisu 100g.jpg?q=10
reeses-white-blanc-miniatures-pouch,Reeses White Blanc Miniatures Pouch,185g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,185,shopify,100,deny,manual,3850,TRUE,TRUE,https://assets.indolj.io/upload/1772523227-ReesesWhiteBlancPeanutButterPouch165g.jfif?q=10
lindt-extra-creamy-salted-caramel-milk-chocolate,Lindt Extra Creamy Salted caramel Milk Chocolate,80G,Candyshop,General,"General, Imported",TRUE,Title,Default Title,80,shopify,100,deny,manual,2250,TRUE,TRUE,https://assets.indolj.io/upload/1761913648-Lindt Extra Creamy Salted caramel Milk Chocolate 80.jpg?q=10
twix-top-21g,Twix Top 21g,,Candyshop,General,"General, Imported",TRUE,Title,Default Title,0,shopify,100,deny,manual,470,TRUE,TRUE,https://assets.indolj.io/upload/1771313474-Twix Top 21g.jfif?q=10
kernelpop-hazelnut-wafer-roll,Kernelpop Hazelnut Wafer Roll,80g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,80,shopify,100,deny,manual,230,TRUE,TRUE,https://assets.indolj.io/upload/1772523263-KernelpopHazelnutWaferRoll80g.jfif?q=10
lindt-extra-creamy-hazelnut-milk-chocolate,Lindt Extra Creamy Hazelnut Milk Chocolate,80G,Candyshop,General,"General, Imported",TRUE,Title,Default Title,80,shopify,100,deny,manual,2250,TRUE,TRUE,https://assets.indolj.io/upload/1761913831-Lindt Extra Creamy Hazelnut Milk Chocolate 80G.jpg?q=10
tim-hortons-boston-cream-granola-bar,Tim Hortons Boston cream Granola Bar,30g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,30,shopify,100,deny,manual,590,TRUE,TRUE,https://assets.indolj.io/upload/1771313502-Tim Hortons Boston cream Granola Bar 30g.jfif?q=10
kernelpop-strawberry-wafer-roll,Kernelpop Strawberry Wafer Roll,80g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,80,shopify,100,deny,manual,230,TRUE,TRUE,https://assets.indolj.io/upload/1772523293-KernelpopStrawberryWaferRoll80g.jfif?q=10
